Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.6443E7 ; 1.43821257
1.65E7 ; 1.43287447
1.6532E7 ; 1.42902164
1.6553E7 ; 1.4259077
1.6695E7 ; 1.40850185
1.682E7 ; 1.39978124
1.6824E7 ; 1.39939577
1.6974E7 ; 1.3956818
1.7E7 ; 1.39717332
1.7053E7 ; 1.40128008
1.7074E7 ; 1.40588462
1.7138E7 ; 1.39808566
1.729816E7 ; 1.39314289
1.73E7 ; 1.39308786
1.7301E7 ; 1.40638522
1.74315E7 ; 1.40151259
1.7467E7 ; 1.40108371
1.75E7 ; 1.40563653
1.7553E7 ; 1.41069057
1.7616E7 ; 1.41649117
1.7687E7 ; 1.41762798
1.79E7 ; 1.43175793
1.7901E7 ; 1.43450405
1.8E7 ; 1.44297141
1.8053E7 ; 1.45269766
1.8087E7 ; 1.44669464
1.8158E7 ; 1.46790686
1.8273E7 ; 1.46570394
1.846E7 ; 1.46160319
1.85E7 ; 1.46982432
1.8516E7 ; 1.47289893
1.8553E7 ; 1.47614773
1.8632E7 ; 1.48308498
1.87E7 ; 1.48710656
1.8833E7 ; 1.48512468
1.9E7 ; 1.48753014
1.903E7 ; 1.48801459
1.9034E7 ; 1.48823741
1.9053E7 ; 1.48813479
1.9185E7 ; 1.49064443
1.9346E7 ; 1.49365169
1.95E7 ; 1.49809901
1.9511E7 ; 1.49810813
1.9553E7 ; 1.49919017
1.96E7 ; 1.50026998
